latitude,longitude
34.694,135.502
-33.869,151.209
37.567,126.978
55.756,37.617
-23.551,-46.633
59.934,30.335
43.653,-79.383
-34.604,-58.382
28.614,77.209
39.904,116.407
45.422,-75.697
-37.814,144.963
19.433,-99.133
50.076,14.438
31.230,121.474
-22.907,-43.173
40.640,22.944
47.606,-122.332
33.749,-84.388
49.283,-123.121
44.978,-93.265
-26.204,28.047
-12.046,-77.043
25.762,-80.192
51.166,10.452
36.170,-115.140
53.350,-6.260
60.170,24.935
42.360,-71.059
55.676,12.568
52.368,4.904
-31.951,115.861
56.950,24.105
41.903,12.496
59.329,18.069
-33.925,18.424
30.695,76.838
48.146,11.609
32.716,-117.161
45.764,4.836
38.907,-77.037
